,Abstract,Year
1613,"Background and Objective: Clinical concern for acute coronary syndrome (ACS) is one of emergency medicine's most common patient encounters. This study aims to develop an ensemble learning-driven framework as a diagnostic support tool to prevent misdiagnosis. Methods: We obtained extensive clinical electronic health data on patient encounters with clinical concerns for ACS from a large urban emergency department (ED) between January 2017 and August 2020. We applied an analytical framework equipped with many well-developed algorithms to improve the data quality by addressing missing values, dimensionality reduction, and data imbalance. We trained ensemble learning algorithms to classify patients with ACS or non-ACS etiologies of their symptoms. We used performance evaluation metrics such as accuracy, sensitivity, precision, F1-score, and the area under the receiver operating characteristic (AUROC) to measure the model's performance. Results: The analysis included 31,228 patients, of whom 563 (1.8%) had ACS and 30,665 (98.2%) had alternative diagnoses. Eleven features, including systolic blood pressure, brain natriuretic peptide, chronic heart disease, coronary artery disease, creatinine, glucose, heart attack, heart rate, nephrotic syndrome, red cell distribution width, and troponin level, are reported as significantly contributing risk factors. The proposed framework successfully classifies these cohorts with sensitivity and AUROC as high as 86.3% and 93.3%. Our proposed model's accuracy, precision, specificity, Matthew's correlation coefficient, and F1-score were 85.7%, 86.3%, 93%, 80%, and 86.3%, respectively. Conclusion: Our proposed framework can identify early patients with ACS through further refinement and validation. © 2022",2022
1782,"Glaucoma is a progressive optic neuropathy, which damages the optic nerve head and causes irreversible visual field loss. It is considered as one of the major cause of blindness. Clinical diagnosis of glaucoma involves fundus photography for examining the changes occurring due to glaucoma. Fundus images are capable of being processed by computational algorithms. Thus, development of an automated diagnostic system using image processing techniques is of great importance for detection of glaucoma during mass screening. The proposed method aims to develop a computer aided diagnostic (CAD) system for glaucoma detection. First, automated segmentation algorithms for optic disc and optic cup are developed which overcomes the reduced variability present between the region of interest and the background. Second, the segmented regions are used to obtain the clinical and textural features. Finally an efficient classification model is developed by considering the dynamic classifier selection methods. The proposed method is tested on a hospital dataset and publically available Drishti dataset. The quantitative results proves the efficiency of the adopted methodology and thus, can be incorporated in CAD of glaucoma. © 2020 Elsevier Ltd",2021
1876,"Background: Despite recent improvements in the burden of cardiovascular disease (CVD) in the UK, deaths from CVD are relatively high compared with other high-income countries. An estimated 7 million people in the UK are living with CVD, and the healthcare cost is approximately £11 billion annually. In more than 90% of cases, the risk of a first heart attack is thought to be related to modifiable risk factors including smoking, poor diet, lipidemia, high blood pressure, inactivity, obesity and excess alcohol consumption. The aim of the study is to synthesise evidence for the comparative effectiveness and cost-effectiveness of different interventions for the primary prevention of CVD. Methods: We will systematically search databases (for example, MEDLINE (Ovid), Embase (Ovid), Cochrane Library) and the reference lists of previous systematic reviews for randomised controlled trials that assess the effectiveness and cost-effectiveness of any form of intervention aimed at adult populations for the primary prevention of CVD, including but not limited to lipid lowering medications, blood pressure lowering medications, antiplatelet agents, nutritional supplements, dietary interventions, health promotion programmes, physical activity interventions or structural and policy interventions. Interventions may or may not be targeted at high-risk groups. Publications from any year will be considered for inclusion. The primary outcome will be all cause mortality. Secondary outcomes will be cardiovascular diseases related mortality, major cardiovascular events, coronary heart disease, incremental costs per quality-adjusted life years gained. If data permits, we will use network meta-analysis to compare and rank effectiveness of different interventions, and test effect modification of intervention effectiveness using subgroup analyses and meta-regression analyses. Discussion: The results will be important for policymakers when making decisions between multiple possible alternative strategies to prevent CVD. Compared to results from existing multiple separate pairwise meta-analyses, this overarching synthesis of all relevant work will enhance decision-making. The findings will be crucial to inform evidence-based priorities and guidelines for policies and planning prevention strategies of CVD. Systematic review registration: PROSPERO CRD42019123940. © 2020 The Author(s).",2020
1709,"Heart failure is a clinical syndrome that occurs when the heart is too weak or stiff and cannot pump enough blood that our body needs. It is one of the most expensive diseases due to frequent hospitalizations and emergency room visits. Reducing unnecessary rehospitalizations is also an important and challenging task that has the potential of saving healthcare costs, enabling discharge planning, and identifying patients at high risk. Therefore, this paper proposes a deep learning-based prediction model of heart failure rehospitalization during 6, 12, 24-month follow-ups after hospital discharge in patients with acute myocardial infarction (AMI). We used the Korea Acute Myocardial Infarction-National Institutes of Health (KAMIR-NIH) registry which included 13,104 patient records and 551 features. The proposed deep learning-based rehospitalization prediction model outperformed traditional machine learning algorithms such as logistic regression, support vector machine, AdaBoost, gradient boosting machine, and random forest. The performance of the proposed model was accuracy, the area under the curve, precision, recall, specificity, and F1 score of 99.37%, 99.90%, 96.86%, 98.61%, 99.49%, and 97.73%, respectively. This study showed the potential of a deep learning-based model for cardiology, which can be used for decision-making and medical diagnosis tool of heart failure rehospitalization in patients with AMI. © The Author(s) 2022.",2022
1610,"Aims : Heart failure with preserved ejection fraction (HFpEF) is a rapidly growing global health problem. To date, diagnosis of HFpEF is based on clinical, invasive, and laboratory examinations. Electrocardiographic findings may vary, and there are no known typical ECG features for HFpEF. Methods and results : This study included two patient cohorts. In the derivation cohort, we included n = 1884 patients who presented with exertional dyspnoea or equivalent and preserved ejection fraction (≥50%) and clinical suspicion for coronary artery disease. The ECGs were divided in segments, yielding a total of 77 558 samples. We trained a convolutional neural network (CNN) to classify HFpEF and control patients according to European Society of Cardiology (ESC) criteria. An external group of 203 volunteers in a prospective heart failure screening programme served as a validation cohort of the CNN. The external validation of the CNN yielded an area under the curve of 0.80 [95% confidence interval (CI) 0.74-0.86] for detection of HFpEF according to ESC criteria, with a sensitivity of 0.99 (95% CI 0.98-0.99) and a specificity of 0.60 (95% CI 0.56-0.64), with a positive predictive value of 0.68 (95%CI 0.64-0.72) and a negative predictive value of 0.98 (95% CI 0.95-0.99). Conclusion : In this study, we report the first deep learning-enabled CNN for identifying patients with HFpEF according to ESC criteria including NT-proBNP measurements in the diagnostic algorithm among patients at risk. The suitability of the CNN was validated on an external validation cohort of patients at risk for developing heart failure, showing a convincing screening performance. © 2021 The Author(s). Published by Oxford University Press on behalf of the European Society of Cardiology.",2021
1934,"We propose a fully automated algorithm based on a deep learning framework enabling screening of a coronary computed tomography angiography (CCTA) examination for confident detection of the presence or absence of coronary artery atherosclerosis. The system starts with extracting the coronary arteries and their branches from CCTA datasets and representing them with multi-planar reformatted volumes; pre-processing and augmentation techniques are then applied to increase the robustness and generalization ability of the system. A 3-dimensional convolutional neural network (3D-CNN) is utilized to model pathological changes (e.g., atherosclerotic plaques) in coronary vessels. The system learns the discriminatory features between vessels with and without atherosclerosis. The discriminative features at the final convolutional layer are visualized with a saliency map approach to provide visual clues related to atherosclerosis likelihood and location. We have evaluated the system on a reference dataset representing 247 patients with atherosclerosis and 246 patients free of atherosclerosis. With five fold cross-validation, an Accuracy = 90.9%, Positive Predictive Value = 58.8%, Sensitivity = 68.9%, Specificity of 93.6%, and Negative Predictive Value (NPV) = 96.1% are achieved at the artery/branch level with threshold 0.5. The average area under the receiver operating characteristic curve is 0.91. The system indicates a high NPV, which may be potentially useful for assisting interpreting physicians in excluding coronary atherosclerosis in patients with acute chest pain. © 2020 The Author(s)",2020
1988,"Objectives: The purpose of this study was to establish whether an artificially intelligent (AI) system can be developed to automate stress echocardiography analysis and support clinician interpretation. Background: Coronary artery disease is the leading global cause of mortality and morbidity and stress echocardiography remains one of the most commonly used diagnostic imaging tests. Methods: An automated image processing pipeline was developed to extract novel geometric and kinematic features from stress echocardiograms collected as part of a large, United Kingdom-based prospective, multicenter, multivendor study. An ensemble machine learning classifier was trained, using the extracted features, to identify patients with severe coronary artery disease on invasive coronary angiography. The model was tested in an independent U.S. study. How availability of an AI classification might impact clinical interpretation of stress echocardiograms was evaluated in a randomized crossover reader study. Results: Acceptable classification accuracy for identification of patients with severe coronary artery disease in the training data set was achieved on cross-fold validation based on 31 unique geometric and kinematic features, with a specificity of 92.7% and a sensitivity of 84.4%. This accuracy was maintained in the independent validation data set. The use of the AI classification tool by clinicians increased inter-reader agreement and confidence as well as sensitivity for detection of disease by 10% to achieve an area under the receiver-operating characteristic curve of 0.93. Conclusions: Automated analysis of stress echocardiograms is possible using AI and provision of automated classifications to clinicians when reading stress echocardiograms could improve accuracy, inter-reader agreement, and reader confidence. © 2022 The Authors",2022
1531,[No abstract available],2022
1648,"The study aims to grasp the hot spots and trends of global cardiopulmonary exercise research.Web of Science (WoS) core collection and Derwent Innovation Index database were retrieved to collect literature from 2002 to 2022 with Cardiopulmonary Exercise Test (CPET) as the retrieval theme. CiteSpace was used to conduct bibliometrics and visual analysis of 6679 pieces of literature in the web of science core collection database and 251 patent data in the Derwent Innovation Index database. The results show that: (1) the number of CPET theme research papers is increasing year by year, and the main research fields are cardiology, respiratory system, sports science, etc.; (2) The main research hot spots of CPET include exercise prescription, exercise and heart failure, COVID-19 cardiopulmonary rehabilitation and evaluation, etc.; (3) The development trend of CPET technology is majorly in the direction of intelligence, portability, individualization and the integration of Virtual Reality (VR) technology and evidence-based research of CPET guiding clinical decision-making. © 2022 The Authors",2022
2024,"Importance: The comparative cardiovascular safety of analogue and human insulins in adults with type 2 diabetes who initiate insulin therapy in usual care settings has not been carefully evaluated using machine learning and other rigorous analytic methods. Objective: To examine the association of analogue vs human insulin use with mortality and major cardiovascular events. Design, Setting, and Participants: This retrospective cohort study included 127600 adults aged 21 to 89 years with type 2 diabetes at 4 health care delivery systems who initiated insulin therapy from January 1, 2000, through December 31, 2013. Machine learning and rigorous inference methods with time-varying exposures were used to evaluate associations of continuous exposure to analogue vs human insulins with mortality and major cardiovascular events. Data were analyzed from September 1, 2017, through June 30, 2018. Exposures: On the index date (first insulin dispensing), participants were classified as using analogue insulin with or without human insulin or human insulin only. Main Outcomes and Measures: Overall mortality, mortality due to cardiovascular disease (CVD), myocardial infarction (MI), stroke or cerebrovascular accident (CVA), and hospitalization for congestive heart failure (CHF) were evaluated. Marginal structural modeling (MSM) with inverse probability weighting was used to compare event-free survival in separate per-protocol analyses. Adjusted and unadjusted hazard ratios and cumulative risk differences were based on logistic MSM parameterizations for counterfactual hazards. Propensity scores were estimated using a data-adaptive approach (machine learning) based on 3 nested covariate adjustment sets. Sensitivity analyses were conducted to address potential residual confounding from unmeasured differences in risk factors across delivery systems. Results: The 127600 participants (mean [SD] age, 59.4 [12.6] years; 68 588 men [53.8%]; mean [SD] body mass index, 32.3 [7.1]) had a median follow-up of 4 quarters (interquartile range, 3-9 quarters) and experienced 5464 deaths overall (4.3%), 1729 MIs (1.4%), 1301 CVAs (1.0%), and 3082 CHF hospitalizations (2.4%). There were no differences in adjusted hazard ratios for continuous analogue vs human insulin exposure during 10 quarters for overall mortality (1.15; 95% CI, 0.97-1.34), CVD mortality (1.26; 95% CI, 0.86-1.66), MI (1.11; 95% CI, 0.77-1.45), CVA (1.30; 95% CI, 0.81-1.78), or CHF hospitalization (0.93; 95% CI, 0.75-1.11). Conclusions and Relevance: Insulin-naive adults with type 2 diabetes who initiate and continue treatment with human vs analogue insulins had similar observed rates of major cardiovascular events, CVD mortality, and overall mortality. Copyright © JAMA Network Open. All rights reserved.",2020
1787,"Purpose: In recent years, the complete blood count with differential (CBC w/diff) test has drawn strong interest because of its prognostic value in cardiovascular diseases. We aimed to develop a CBC w/diff-based prediction model for in-hospital mortality among patients with severe acute myocardial infarction (AMI) in the coronary care unit (CCU). Materials and methods: This single-center retrospective study used data from a public database. The neural network method was applied. The performance of the model was assessed by discrimination and calibration. The discrimination performance of our model was compared to that of seven other classical machine learning models and five well-studied CBC w/diff clinical indicators. Finally, a permutation test was applied to evaluate the importance rank of the predictor variables. Results: A total of 2,231 patient medical records were included. With a mean area under the curve (AUC) of 0.788 [95% confidence interval (CI), 0.736–0.838], our model outperformed all other models and indices. Furthermore, it performed well in calibration. Finally, the top three predictors were white blood cell count (WBC), red blood cell distribution width-coefficient of variation (RDW-CV), and neutrophil percentage. Surprisingly, after dropping seven variables with poor prediction values, the AUC of our model increased to 0.812 (95% CI, 0.762–0.859) (P < 0.05). Conclusion: We used a neural network method to develop a risk prediction model for in-hospital mortality among patients with AMI in the CCU based on the CBC w/diff test, which performed well and would aid in early clinical decision-making. The top three important predictors were WBC, RDW-CV and neutrophil percentage. Copyright © 2022 Wang, Li, Yuan, Ren, Liu, Zheng, Lin, Ren and Gao.",2022
1811,"Introduction Type 2 diabetes mellitus (T2DM) is a major cause of blindness, kidney failure, myocardial infarction, stroke and lower limb amputation. We are still unable, however, to accurately predict or identify which patients are at a higher risk of deterioration. Most risk stratification tools do not account for novel factors such as sociodemographic determinants, self-management ability or access to healthcare. Additionally, most tools are based in clinical trials, with limited external generalisability. Objective The aim of this work is to design and validate a machine learning-based tool to identify patients with T2DM at high risk of clinical deterioration, based on a comprehensive set of patient-level characteristics retrieved from a population health linked dataset. Sample and design Retrospective cohort study of patients with diagnosis of T2DM on 1 January 2015, with a 5-year follow-up. Anonymised electronic healthcare records from the Whole System Integrated Care (WSIC) database will be used. Preliminary outcomes Outcome variables of clinical deterioration will include retinopathy, chronic renal disease, myocardial infarction, stroke, peripheral arterial disease or death. Predictor variables will include sociodemographic and geographic data, patients' ability to self-manage disease, clinical and metabolic parameters and healthcare service usage. Prognostic models will be defined using multidependence Bayesian networks. The derivation cohort, comprising 80% of the patients, will be used to define the prognostic models. Model parameters will be internally validated by comparing the area under the receiver operating characteristic curve in the derivation cohort with those calculated from a leave-one-out and a 10 times twofold cross-validation. Ethics and dissemination The study has received approvals from the Information Governance Committee at the WSIC. Results will be made available to people with T2DM, their caregivers, the funders, diabetes care societies and other researchers.  © Authors 2021",2021
